config,quantization,id,question,answer,infer_ms,completion_tokens,hits,kw_total,accuracy
优化前-Q8_0,Q8_0,Q1,鸡蛋常温能放多久？应该怎么存放最好？,鸡蛋在室温下可以保存1-2周左右。建议将鸡蛋放在冰箱的冷藏室内，温度保持在4℃以下，这样可以延长其保质期并减少细菌生长的风险。,4196.306,42,2,2,1.0
优化前-Q8_0,Q8_0,Q2,番茄炒蛋的关键步骤有哪些？请按顺序简述。,"1. 将鸡蛋打入碗中，加入适量盐搅拌均匀。
2. 番茄洗净切块备用。
3. 锅中加油烧热，倒入打好的鸡蛋液快速翻炒至凝固成块状。
4. 加入切好的番茄块继续翻炒至熟透即可出锅。",5343.883,68,2,4,0.5
优化前-Q8_0,Q8_0,Q3,猪肉冷冻能保存多久？解冻方式哪种最好？,猪肉冷冻一般可以保存3-6个月。解冻方式建议采用冰箱自然解冻或使用微波炉低温解冻。避免高温水解冻以防肉质变质。,3174.982,39,2,3,0.6667
优化前-Q8_0,Q8_0,Q4,土豆和洋葱可以放在一起储存吗？为什么？,可以。因为它们都是水分含量高的食物，一起存放能保持湿度平衡，延长保存时间。,1987.056,21,0,3,0.0
优化前-Q8_0,Q8_0,Q5,用鸡蛋、葱、米饭，能做哪一道简单家常菜？只给菜名。,炒饭,923.388,2,1,1,1.0
优化前-Q8_0,Q8_0,Q6,绿叶蔬菜（如菠菜）冰箱冷藏一般几天内吃完？,3-5天内。,1153.751,6,1,2,0.5
优化后-Q4_0,Q4_0,Q1,鸡蛋常温能放多久？应该怎么存放最好？,鸡蛋在室温下可以保存1-2周左右。建议将鸡蛋放在冰箱的冷藏柜中，温度保持在4°C（约39°F）以下，这样可以延长其保质期并减少细菌生长的风险。,4527.584,49,2,2,1.0
优化后-Q4_0,Q4_0,Q2,番茄炒蛋的关键步骤有哪些？请按顺序简述。,"1. 将鸡蛋打入碗中，加入适量的盐搅拌均匀。
2. 番茄切块备用。
3. 锅中热油，放入鸡蛋液快速翻炒至凝固，盛出备用。
4. 锅中再次加热，放入番茄块翻炒至出汁。
5. 加入之前炒好的鸡蛋，快速翻炒均匀即可出锅。",5610.549,82,3,4,0.75
优化后-Q4_0,Q4_0,Q3,猪肉冷冻能保存多久？解冻方式哪种最好？,猪肉冷冻后可以保存数月到一年不等，具体取决于肉的种类和质量。解冻方式最好采用冰箱解冻，避免使用微波炉解冻，因为微波炉加热不均匀可能导致肉质变质或口感不佳。解冻后的猪肉应尽快烹饪使用，以保证食品安全。,4562.989,66,2,3,0.6667
优化后-Q4_0,Q4_0,Q4,土豆和洋葱可以放在一起储存吗？为什么？,可以放在一起储存。因为它们都是水分含量较高的食材，能相互吸收对方的水分，保持干燥，减少发芽和腐烂的风险。,2378.852,31,2,3,0.6667
优化后-Q4_0,Q4_0,Q5,用鸡蛋、葱、米饭，能做哪一道简单家常菜？只给菜名。,炒饭,1221.733,2,1,1,1.0
优化后-Q4_0,Q4_0,Q6,绿叶蔬菜（如菠菜）冰箱冷藏一般几天内吃完？,建议在48小时内食用完。,1388.542,8,0,2,0.0
